a,b,c,d,target
5.38,15.0,0.37,7.8,5.0
5.6,12.0,0.22,9.0,10.0
16.5,20.0,0.1,20.0,20.0
8.58,16.0,0.26,15.33,15.0
5.5,10.0,0.16,5.5,12.0
13.7,16.0,0.19,16.0,20.0
11.44,20.0,0.14,20.0,20.0
15.0,25.0,0.1,15.0,35.0
10.19,10.0,0.28,10.0,10.0
12.33,20.0,0.14,20.0,20.0
6.55,10.0,0.34,8.0,10.0
3.6,3.0,0.52,5.29,3.0
10.36,15.0,0.3,14.0,15.0
15.0,20.0,0.09,20.0,20.0
3.11,3.0,0.41,4.12,4.0
8.0,15.0,0.2,8.5,25.0
20.0,20.0,0.06,20.0,35.0
3.82,6.0,0.24,4.67,5.0
12.5,20.0,0.07,20.0,10.0
14.0,25.0,0.11,14.0,30.0
15.85,25.0,0.27,28.0,25.0
20.0,20.0,0.08,0.0,25.0
25.0,25.0,0.06,25.0,25.0
4.5,6.0,0.24,5.0,5.0
10.67,20.0,0.13,20.0,25.0
5.0,4.0,0.51,5.33,4.0
10.0,15.0,0.12,10.0,12.0
9.25,12.0,0.21,7.5,20.0
14.57,15.0,0.12,15.0,15.0
13.0,30.0,0.26,25.0,30.0
4.23,10.0,0.2,7.33,10.0
11.4,13.0,0.14,13.0,15.0
12.5,15.0,0.11,12.5,18.0
15.4,25.0,0.1,22.5,20.0
14.43,25.0,0.14,18.33,18.0
8.33,5.0,0.14,5.0,10.0
13.0,17.0,0.12,13.0,23.0
15.0,15.0,0.08,15.0,15.0
15.0,15.0,0.07,15.0,15.0
20.0,20.0,0.08,20.0,20.0
15.0,15.0,0.08,15.0,25.0
9.25,10.0,0.17,10.0,10.0
3.41,4.0,0.39,4.0,1.0
8.1,12.0,0.19,10.8,11.0
6.6,6.0,0.24,6.75,10.0
7.0,8.0,0.17,8.0,5.0
13.0,16.0,0.1,13.0,15.0
8.57,7.0,0.4,6.8,10.0
15.0,20.0,0.1,20.0,25.0
13.25,13.0,0.17,22.33,12.0
8.62,11.0,0.37,10.11,9.0
9.39,10.0,0.31,15.0,13.0
3.12,3.0,0.4,3.2,5.0
5.17,7.0,0.3,5.43,5.0
9.5,10.0,0.12,12.5,12.0
7.2,9.0,0.17,9.33,10.0
6.67,20.0,0.24,13.5,20.0
14.55,37.0,0.19,21.67,50.0
20.0,20.0,0.07,20.0,25.0
6.67,10.0,0.15,9.0,10.0
6.6,5.0,0.22,8.4,10.0
13.43,19.0,0.26,19.25,19.0
7.67,7.0,0.16,7.67,9.0
11.32,10.0,0.21,18.0,10.0
7.57,10.0,0.22,10.0,10.0
16.5,19.0,0.11,18.0,10.0
11.67,20.0,0.08,20.0,2.0
7.33,15.0,0.19,11.67,16.0
10.83,15.0,0.15,15.0,20.0
15.0,15.0,0.08,15.0,30.0
6.1,5.0,0.38,6.0,10.0
20.0,20.0,0.07,20.0,20.0
3.75,7.0,0.35,4.0,4.0
3.73,3.0,0.37,4.5,2.0
10.7,17.0,0.24,15.5,16.0
12.4,20.0,0.17,15.0,30.0
30.75,50.0,0.15,58.33,100.0
15.0,20.0,0.1,15.0,20.0
10.0,20.0,0.1,10.0,25.0
7.38,11.0,0.2,9.5,10.0
9.83,9.0,0.15,13.67,17.0
5.61,6.0,0.31,7.6,10.0
14.0,15.0,0.11,13.0,20.0
10.54,15.0,0.3,11.12,20.0
17.67,28.0,0.08,28.0,40.0
8.62,10.0,0.23,10.6,10.0
22.25,27.0,0.09,27.0,20.0
20.0,20.0,0.08,20.0,20.0
4.59,6.0,0.5,5.07,9.0
17.86,30.0,0.15,27.5,25.0
10.0,10.0,0.14,10.0,10.0
7.19,10.0,0.31,10.0,12.0
13.38,21.0,0.15,21.0,20.0
14.09,3.0,0.16,20.0,20.0
15.0,25.0,0.11,15.0,10.0
9.6,20.0,0.16,11.67,14.0
8.43,10.0,0.34,10.0,10.0
7.21,13.0,0.24,11.0,10.0
4.87,5.0,0.23,5.6,7.0
11.86,15.0,0.14,13.67,20.0
22.81,20.0,0.23,23.5,15.0
7.83,10.0,0.21,8.2,5.0
4.84,5.0,0.27,5.0,5.0
7.75,5.0,0.49,7.75,5.0
8.0,13.0,0.19,8.75,13.0
15.0,15.0,0.07,15.0,5.0
13.57,20.0,0.17,16.0,20.0
13.0,17.0,0.11,13.0,23.0
19.0,20.0,0.15,20.0,10.0
5.88,10.0,0.24,6.17,9.0
20.0,20.0,0.07,20.0,10.0
35.0,35.0,0.1,35.0,35.0
6.0,8.0,0.5,6.4,5.0
19.47,25.0,0.19,20.14,20.0
20.0,15.0,0.13,21.67,10.0
10.0,15.0,0.11,10.0,15.0
13.33,15.0,0.14,15.0,15.0
5.71,5.0,0.19,6.4,7.0
12.5,15.0,0.08,12.5,20.0
7.82,8.0,0.45,8.18,7.0
9.73,15.0,0.16,15.0,15.0
12.86,19.0,0.15,17.75,25.0
20.0,20.0,0.07,20.0,30.0
38.67,25.0,0.16,26.25,25.0
12.0,17.0,0.15,15.67,17.0
8.75,14.0,0.15,8.75,20.0
6.79,8.0,0.31,6.67,5.0
5.33,5.0,0.25,5.5,5.0
12.14,16.0,0.19,15.0,50.0
6.25,10.0,0.24,7.0,8.0
5.0,5.0,0.45,5.0,5.0
3.63,5.0,0.44,5.2,5.0
10.63,19.0,0.57,13.38,32.0
15.0,20.0,0.26,18.6,25.0
10.75,20.0,0.21,16.25,20.0
8.0,10.0,0.16,8.6,10.0
6.9,5.0,0.33,7.8,10.0
8.61,10.0,0.39,11.67,13.0
11.8,20.0,0.26,20.0,25.0
13.67,15.0,0.12,15.5,21.0
4.58,10.0,0.38,8.4,10.0
13.5,15.0,0.18,15.0,15.0
5.48,10.0,0.46,7.83,10.0
12.67,17.0,0.14,17.0,10.0
10.72,12.0,0.42,11.33,11.0
10.0,15.0,0.14,11.67,20.0
5.38,5.0,0.32,5.71,5.0
10.0,10.0,0.17,10.0,10.0
17.86,20.0,0.11,20.0,20.0
11.67,10.0,0.09,20.0,10.0
7.0,10.0,0.18,8.67,10.0
8.0,15.0,0.11,12.0,15.0
11.85,16.0,0.18,14.5,10.0
9.67,10.0,0.21,11.75,15.0
15.56,19.0,0.16,17.8,18.0
3.64,3.0,0.3,4.14,3.0
7.15,13.0,0.21,11.67,12.0
9.71,15.0,0.16,12.67,15.0
15.0,15.0,0.06,15.0,10.0
7.43,8.0,0.29,7.67,8.0
5.29,10.0,0.37,10.0,10.0
6.8,10.0,0.21,7.67,10.0
18.75,25.0,0.11,25.0,25.0
17.89,20.0,0.15,20.0,25.0
5.53,15.0,0.38,15.0,15.0
25.0,25.0,0.06,25.0,30.0
2.45,5.0,0.55,3.2,6.0
10.08,10.0,0.23,12.0,7.0
16.0,17.0,0.09,17.0,17.0
7.33,7.0,0.14,7.33,20.0
11.44,16.0,0.24,0.0,16.0
11.79,5.0,0.26,15.2,11.0
10.31,12.0,0.23,12.0,11.0
6.0,10.0,0.27,7.8,8.0
11.23,13.0,0.18,14.33,20.0
5.08,5.0,0.33,6.86,7.0
3.57,5.0,0.41,4.5,2.0
8.86,11.0,0.47,11.27,15.0
6.67,10.0,0.14,6.67,6.0
9.12,10.0,0.24,14.0,14.0
9.8,25.0,0.1,25.0,35.0
11.83,12.0,0.12,18.5,25.0
7.14,12.0,0.18,12.0,13.0
10.5,6.0,0.14,15.0,10.0
5.2,10.0,0.39,10.0,5.0
12.0,15.0,0.09,12.5,10.0
11.67,15.0,0.11,11.67,15.0
13.0,20.0,0.14,16.67,15.0
20.0,20.0,0.07,20.0,20.0
8.0,10.0,0.23,10.0,10.0
7.33,15.0,0.12,9.0,15.0
12.33,15.0,0.26,14.0,20.0
79.17,100.0,0.06,100.0,50.0
12.0,18.0,0.2,16.25,18.0
15.0,15.0,0.08,15.0,10.0
15.0,15.0,0.07,15.0,5.0
7.67,10.0,0.27,9.0,5.0
9.84,10.0,0.32,10.56,15.0
32.31,50.0,0.14,50.0,50.0
7.56,10.0,0.19,8.33,10.0
22.5,25.0,0.09,22.5,22.0
10.0,18.0,0.16,16.0,10.0
33.33,50.0,0.07,37.5,50.0
57.5,100.0,0.11,73.33,100.0
10.25,10.0,0.19,10.0,10.0
15.0,15.0,0.1,15.0,10.0
8.14,10.0,0.17,8.4,10.0
7.33,5.0,0.19,10.0,5.0
22.67,46.0,0.16,26.2,45.0
4.27,7.0,0.22,5.33,5.0
7.64,10.0,0.21,10.0,10.0
3.55,5.0,0.43,4.0,3.0
11.67,20.0,0.1,11.67,10.0
8.1,4.0,0.28,12.0,10.0
5.62,10.0,0.22,8.75,7.0
11.53,15.0,0.25,18.0,15.0
5.36,5.0,0.24,5.5,10.0
13.67,15.0,0.11,13.67,15.0
6.75,7.0,0.15,6.75,7.0
14.89,21.0,0.15,20.5,15.0
7.44,10.0,0.29,10.0,10.0
7.3,15.0,0.14,10.0,10.0
6.16,10.0,0.31,9.0,10.0
12.75,20.0,0.1,17.5,20.0
4.73,6.0,0.3,4.25,3.0
7.17,15.0,0.12,11.0,15.0
9.55,10.0,0.18,10.5,11.0
12.11,15.0,0.14,15.0,20.0
9.52,13.0,0.32,11.0,11.0
10.14,13.0,0.19,11.8,11.0
8.64,15.0,0.52,10.2,15.0
10.12,16.0,0.14,14.67,16.0
17.86,25.0,0.15,21.25,10.0
6.33,8.0,0.3,8.0,8.0
9.2,16.0,0.12,12.0,25.0
10.83,15.0,0.16,15.0,15.0
12.14,30.0,0.15,30.0,30.0
8.45,12.0,0.2,11.33,11.0
6.75,12.0,0.19,11.33,12.0
5.43,8.0,0.23,9.5,10.0
25.0,25.0,0.08,0.0,25.0
7.47,13.0,0.54,11.33,12.0
14.86,20.0,0.11,20.0,20.0
21.27,25.0,0.34,25.0,25.0
6.5,5.0,0.35,5.5,5.0
20.83,25.0,0.1,25.0,25.0
6.87,10.0,0.31,7.43,8.0
11.67,17.0,0.25,16.0,17.0
6.59,8.0,0.3,6.38,10.0
12.5,17.0,0.12,15.67,16.0
12.0,19.0,0.12,18.0,19.0
7.75,10.0,0.2,8.8,8.0
15.1,15.0,0.18,0.0,21.0
25.0,25.0,0.07,0.0,15.0
23.0,23.0,0.07,23.0,23.0
5.64,10.0,0.42,9.5,15.0
6.4,10.0,0.27,7.4,5.0
50.0,50.0,0.05,50.0,75.0
5.57,20.0,0.13,11.5,25.0
15.67,17.0,0.11,15.67,20.0
7.44,10.0,0.6,8.08,10.0
3.06,5.0,0.39,4.0,4.0
20.88,32.0,0.2,24.0,25.0
4.6,5.0,0.3,5.33,7.0
5.14,4.0,0.26,4.4,5.0
13.67,20.0,0.13,16.67,17.0
5.47,8.0,0.29,8.0,8.0
18.75,20.0,0.07,20.0,23.0
7.57,10.0,0.23,7.83,11.0
5.54,10.0,0.19,11.67,12.0
11.4,11.0,0.17,11.4,5.0
12.5,15.0,0.11,12.5,5.0
17.5,30.0,0.11,27.5,50.0
5.52,6.0,0.33,6.0,6.0
9.0,9.0,0.21,9.0,10.0
12.71,25.0,0.13,22.5,20.0
12.86,15.0,0.13,15.0,21.0
8.17,10.0,0.21,9.5,15.0
24.08,15.0,0.17,45.0,10.0
10.71,10.0,0.21,12.0,10.0
8.83,10.0,0.19,10.0,10.0
13.33,15.0,0.08,15.0,15.0
7.69,10.0,0.29,10.0,10.0
15.0,20.0,0.13,15.0,15.0
6.19,4.0,0.43,6.44,6.0
29.5,6.0,0.11,53.0,20.0
6.73,10.0,0.29,7.33,14.0
4.71,5.0,0.26,5.0,4.0
4.72,10.0,0.26,5.6,7.0
9.7,15.0,0.14,12.5,20.0
4.89,9.0,0.24,12.0,16.0
16.34,18.0,0.91,17.71,17.0
14.0,20.0,0.11,14.0,20.0
10.44,13.0,0.24,11.29,12.0
6.05,8.0,0.29,7.75,8.0
20.0,20.0,0.06,20.0,8.0
20.0,20.0,0.07,20.0,20.0
5.86,10.0,0.16,8.5,10.0
6.0,5.0,0.23,6.6,5.0
4.29,5.0,0.2,4.17,5.0
12.5,15.0,0.08,15.0,15.0
20.0,20.0,0.06,20.0,20.0
5.87,10.0,0.26,11.0,10.0
4.0,6.0,0.26,4.25,5.0
4.0,3.0,0.24,5.2,3.0
9.7,6.0,0.32,12.33,20.0
23.33,25.0,0.16,25.0,25.0
14.62,25.0,0.2,27.5,32.0
5.24,7.0,0.32,5.8,6.0
7.53,11.0,0.26,11.0,9.0
12.31,20.0,0.2,15.25,15.0
9.33,15.0,0.13,13.0,10.0
9.75,15.0,0.1,12.5,15.0
4.86,5.0,0.25,4.86,5.0
25.8,100.0,0.15,50.0,100.0
20.0,20.0,0.06,20.0,20.0
23.83,37.0,0.1,37.0,47.0
4.86,5.0,0.3,5.4,5.0
20.0,20.0,0.07,20.0,25.0
5.0,5.0,0.22,5.0,5.0
9.92,13.0,0.33,11.83,12.0
2.8,2.0,0.62,3.25,3.0
5.24,10.0,0.25,8.0,10.0
6.11,6.0,0.31,6.29,6.0
12.5,20.0,0.09,20.0,20.0
7.0,10.0,0.33,7.5,10.0
13.58,21.0,0.16,17.0,15.0
20.0,20.0,0.08,20.0,25.0
9.86,10.0,0.21,13.5,20.0
16.4,25.0,0.12,22.0,23.0
5.48,10.0,0.43,7.5,5.0
36.11,20.0,0.2,20.0,50.0
8.27,11.0,0.29,9.29,15.0
4.1,5.0,0.3,5.75,5.0
25.0,25.0,0.11,25.0,25.0
8.0,9.0,0.14,8.0,5.0
8.0,15.0,0.12,15.0,15.0
17.22,30.0,0.14,26.67,20.0
12.29,20.0,0.17,18.0,30.0
6.88,10.0,0.23,10.0,10.0
8.47,10.0,0.27,10.52,10.0
7.0,10.0,0.16,7.5,5.0
6.0,3.0,0.19,7.5,6.0
12.0,25.0,0.15,10.5,13.0
5.79,10.0,0.44,8.67,5.0
11.5,15.0,0.13,15.0,25.0
13.12,15.0,0.15,15.0,25.0
17.5,10.0,0.18,15.0,16.0
9.44,10.0,0.19,9.29,10.0
3.46,5.0,0.24,5.0,5.0
10.8,10.0,0.14,16.0,20.0
9.41,10.0,0.24,9.6,9.0
3.64,7.0,0.23,4.8,5.0
9.87,15.0,0.26,12.5,15.0
25.0,25.0,0.07,25.0,25.0
15.5,20.0,0.11,20.0,10.0
5.57,6.0,0.24,9.33,8.0
7.55,11.0,0.27,11.0,11.0
11.53,15.0,0.41,13.5,14.0
9.7,15.0,0.15,15.0,15.0
6.06,8.0,0.19,6.83,5.0
25.0,35.0,0.07,35.0,35.0
6.42,8.0,0.31,7.8,10.0
4.0,1.0,0.24,4.75,5.0
7.92,8.0,0.32,9.0,10.0
7.89,10.0,0.29,10.8,10.0
10.55,25.0,0.27,10.57,10.0
4.96,4.0,0.33,4.86,4.0
25.0,25.0,0.05,25.0,30.0
3.09,5.0,0.28,3.0,5.0
5.8,7.0,0.21,6.0,5.0
17.75,30.0,0.1,27.5,40.0
8.12,10.0,0.24,8.29,10.0
7.25,9.0,0.19,7.25,10.0
5.0,5.0,0.28,5.0,5.0
13.0,20.0,0.1,20.0,20.0
4.59,5.0,0.34,5.0,5.0
10.36,10.0,0.2,11.0,10.0
9.64,10.0,0.21,13.0,12.0
9.27,12.0,0.18,11.0,12.5
18.67,20.0,0.1,18.67,25.0
5.95,4.0,0.31,7.33,7.0
9.64,17.0,0.21,17.0,17.0
11.25,10.0,0.16,11.25,15.0
4.35,7.0,0.25,5.43,5.0
3.7,5.0,0.28,4.33,5.0
18.18,50.0,0.25,38.33,50.0
7.79,10.0,0.47,10.12,10.0
12.5,15.0,0.09,12.5,10.0
15.0,15.0,0.08,15.0,15.0
12.5,15.0,0.22,12.5,12.0
8.2,3.0,0.14,11.0,8.0
8.46,8.0,0.33,9.44,11.0
25.0,25.0,0.05,25.0,30.0
15.0,15.0,0.08,15.0,27.0
19.62,25.0,0.17,25.0,30.0
4.29,5.0,0.26,4.17,4.0
8.57,14.0,0.31,12.8,13.0
4.84,5.0,0.42,5.0,5.0
12.4,18.0,0.12,17.5,18.0
12.0,19.0,0.11,14.33,21.0
7.8,6.0,0.4,9.2,8.0
13.33,20.0,0.1,17.5,20.0
15.0,15.0,0.08,15.0,15.0
4.56,5.0,0.3,5.4,5.0
9.0,10.0,0.2,9.67,10.0
9.0,10.0,0.21,10.0,10.0
6.43,5.0,0.19,7.0,5.0
9.9,15.0,0.16,14.0,15.0
7.43,10.0,0.28,9.17,10.0
8.95,5.0,0.26,12.5,10.0
30.67,40.0,0.13,30.67,30.0
5.44,5.0,0.32,5.38,5.0
8.0,10.0,0.16,8.0,9.0
12.86,17.0,0.12,16.0,10.0
16.0,25.0,0.15,20.67,37.0
5.66,10.0,0.4,7.33,5.0
8.17,17.0,0.14,17.0,25.0
34.0,37.0,0.23,36.33,38.0
5.0,6.0,0.41,5.11,9.0
6.04,10.0,0.32,10.0,10.0
7.26,10.0,0.31,7.5,10.0
25.0,30.0,0.19,23.33,50.0
21.25,35.0,0.09,32.5,35.0
15.0,15.0,0.08,15.0,5.0
55.0,60.0,0.08,55.0,50.0
8.23,10.0,0.19,8.75,10.0
6.57,16.0,0.22,16.0,20.0
7.29,6.0,0.42,6.67,7.0
7.17,5.0,0.13,7.67,5.0
9.25,15.0,0.12,15.0,15.0
5.62,10.0,0.26,5.33,11.0
16.29,15.0,0.16,18.4,15.0
6.46,13.0,0.24,12.33,15.0
17.5,20.0,0.19,18.57,25.0
11.0,15.0,0.16,13.0,10.0
9.5,15.0,0.11,13.0,15.0
14.0,20.0,0.1,14.0,20.0
13.88,19.0,0.22,19.67,25.0
7.33,9.0,0.21,7.8,10.0
7.33,10.0,0.2,15.0,20.0
10.0,15.0,0.1,10.0,25.0
13.33,10.0,0.13,15.0,10.0
27.25,40.0,0.17,37.5,5.0
24.12,20.0,0.21,30.0,25.0
8.83,15.0,0.14,12.5,20.0
6.41,11.0,0.32,8.33,8.0
8.57,15.0,0.15,15.0,15.0
2.59,5.0,0.62,2.67,3.0
9.07,10.0,0.2,10.0,9.0
42.08,40.0,0.15,41.67,50.0
7.83,10.0,0.39,9.18,10.0
16.67,15.0,0.09,25.0,20.0
5.5,6.0,0.24,6.0,6.0
15.0,15.0,0.07,15.0,15.0
5.0,5.0,0.23,5.0,5.0
18.71,25.0,0.13,25.0,21.0
7.8,10.0,0.19,8.75,10.0
11.86,30.0,0.13,30.0,10.0
13.57,25.0,0.12,25.0,20.0
6.38,6.0,0.22,8.33,17.0
10.0,13.0,0.15,10.0,14.0
20.0,20.0,0.08,20.0,20.0
15.0,15.0,0.09,15.0,17.0
10.0,8.0,0.17,10.0,11.0
7.29,6.0,0.21,7.67,10.0
10.44,16.0,0.18,14.67,15.0
7.62,15.0,0.3,15.0,20.0
9.06,15.0,0.22,13.0,15.0
5.08,5.0,0.31,5.57,5.0
4.48,5.0,0.35,5.0,5.0
12.4,17.0,0.14,15.67,20.0
20.0,20.0,0.08,20.0,20.0
14.4,20.0,0.12,20.0,20.0
9.09,15.0,0.16,15.0,15.0
8.92,10.0,0.23,10.0,10.0
16.67,20.0,0.15,20.0,20.0
15.0,15.0,0.08,15.0,15.0
20.0,20.0,0.07,20.0,30.0
16.75,20.0,0.15,20.0,20.0
13.33,20.0,0.1,13.33,5.0
10.0,15.0,0.1,15.0,15.0
9.12,10.0,0.36,10.0,12.5
8.33,5.0,0.22,9.0,6.0
11.5,15.0,0.12,13.67,15.0
7.12,10.0,0.24,10.0,10.0
13.0,15.0,0.11,15.0,20.0
24.0,25.0,0.11,23.0,33.0
9.2,10.0,0.22,10.0,10.0
23.86,42.0,0.12,41.0,42.0
2.46,2.0,0.65,3.0,5.0
8.5,10.0,0.27,8.67,10.0
6.65,15.0,0.23,15.0,8.0
9.4,15.0,0.12,12.0,25.0
8.42,10.0,0.17,11.5,10.0
4.67,6.0,0.34,5.0,7.0
9.69,10.0,0.2,12.4,20.0
4.2,5.0,0.3,4.6,5.0
6.25,5.0,0.17,6.25,6.0
30.94,25.0,0.14,28.67,38.0
10.0,15.0,0.1,12.5,15.0
12.83,15.0,0.12,11.67,20.0
4.14,5.0,0.26,5.0,5.0
7.04,11.0,0.27,11.0,10.0
9.62,15.0,0.24,14.0,14.0
12.8,14.0,0.43,12.7,14.0
21.88,20.0,0.15,20.0,30.0
7.76,0.0,0.23,7.5,5.0
5.05,6.0,0.37,5.8,5.0
5.11,15.0,0.42,7.6,7.0
2.64,10.0,0.45,6.67,10.0
15.2,20.0,0.13,20.33,25.0
5.93,10.0,0.36,7.8,10.0
7.13,18.0,0.27,16.67,20.0
13.0,15.0,0.12,15.0,15.0
10.83,15.0,0.12,15.0,15.0
20.0,20.0,0.07,20.0,25.0
14.29,15.0,0.11,15.0,20.0
13.88,25.0,0.14,20.0,30.0
17.5,20.0,0.12,15.0,18.0
9.13,13.0,0.21,11.5,12.0
11.21,16.0,0.19,15.0,10.0
7.0,13.0,0.24,12.0,12.0
9.11,10.0,0.18,10.4,14.0
11.25,10.0,0.22,13.33,10.0
5.22,6.0,0.32,5.5,5.0
8.22,10.0,0.31,11.62,12.0
3.97,4.0,0.41,4.4,3.0
6.32,11.0,0.34,11.5,15.0
6.56,7.0,0.31,7.4,7.0
14.43,25.0,0.11,22.5,25.0
8.58,10.0,0.21,11.0,12.0
6.2,7.0,0.2,6.2,6.0
16.07,15.0,0.42,12.5,15.0
7.91,15.0,0.28,12.67,15.0
9.71,13.0,0.21,12.0,5.0
3.81,5.0,0.51,3.62,3.0
9.27,14.0,0.22,12.67,14.0
15.29,19.0,0.14,18.0,20.0
20.0,20.0,0.06,20.0,20.0
13.56,20.0,0.15,18.0,10.0
8.0,3.0,0.19,10.8,5.0
15.0,15.0,0.08,15.0,17.0
16.43,20.0,0.47,15.0,25.0
12.33,15.0,0.09,13.5,15.0
8.83,9.0,0.18,9.25,9.0
6.29,8.0,0.2,6.6,10.0
9.56,12.0,0.48,9.8,10.0
6.27,4.0,0.36,4.75,10.0
10.75,16.0,0.12,12.67,20.0
9.0,15.0,0.09,15.0,25.0
20.0,20.0,0.11,15.0,10.0
6.0,10.0,0.2,7.5,10.0
10.81,10.0,0.23,11.5,10.0
8.38,6.0,0.35,9.8,7.0
9.11,10.0,0.22,10.17,10.0
11.14,13.0,0.29,14.0,14.0
9.0,11.0,0.16,10.75,11.0
15.75,25.0,0.14,25.0,25.0
14.0,26.0,0.11,14.0,20.0
25.0,25.0,0.08,0.0,20.0
10.0,15.0,0.1,15.0,20.0
10.97,10.0,0.23,11.43,5.0
11.67,20.0,0.14,17.67,20.0
15.0,20.0,0.09,15.0,10.0
12.53,20.0,0.31,16.17,20.0
8.5,10.0,0.23,9.67,10.0
15.0,20.0,0.46,20.0,25.0
11.67,20.0,0.09,15.0,20.0
47.18,100.0,0.12,87.5,100.0
12.36,15.0,0.19,12.86,16.0
9.63,15.0,0.32,14.86,15.0
15.0,15.0,0.06,15.0,7.0
12.53,20.0,0.21,20.0,20.0
20.0,20.0,0.1,20.0,10.0
7.23,7.0,0.24,7.4,3.0
9.5,12.0,0.19,10.67,15.0
8.0,15.0,0.26,8.8,18.25
15.33,10.0,0.16,15.33,15.0
13.0,6.0,0.12,20.0,12.0
11.46,25.0,0.27,22.5,40.0
5.19,15.0,0.33,11.75,14.0
20.67,26.0,0.07,26.0,36.0
8.56,15.0,0.16,11.67,15.0
18.46,20.0,0.2,22.4,10.0
8.5,10.0,0.25,8.75,20.0
5.29,5.0,0.23,6.0,6.0
8.5,12.0,0.28,10.5,11.0
4.4,5.0,0.31,5.0,10.0
6.12,5.0,0.24,5.8,5.0
10.12,10.0,0.23,18.0,16.0
8.33,11.0,0.15,7.0,8.0
10.0,5.0,0.12,6.67,5.0
17.5,20.0,0.09,17.5,20.0
10.6,15.0,0.14,13.5,15.0
10.4,15.0,0.1,15.0,20.0
7.67,11.0,0.17,9.0,7.0
9.0,12.0,0.17,10.5,16.0
2.32,2.5,0.4,2.62,5.0
17.09,20.0,0.15,20.0,20.0
12.83,25.0,0.19,25.0,15.0
13.17,15.0,0.14,15.75,21.0
4.12,3.0,0.28,4.29,3.0
6.27,20.0,0.18,20.0,10.0
10.33,20.0,0.13,20.0,50.0
2.94,3.0,0.35,3.4,3.0
6.25,10.0,0.25,8.67,5.0
15.0,15.0,0.09,15.0,21.0
15.0,20.0,0.07,20.0,25.0
13.24,10.0,0.36,14.0,20.0
13.81,20.0,0.33,20.0,20.0
9.25,12.0,0.14,10.67,14.0
22.5,50.0,0.26,25.0,20.0
13.66,17.0,0.32,15.75,16.0
7.43,9.0,0.39,7.67,10.0
7.67,10.0,0.35,10.0,10.0
12.17,15.0,0.13,15.0,15.0
15.0,15.0,0.08,15.0,25.0
17.19,15.0,0.2,17.67,15.0
3.8,7.0,0.24,5.5,5.0
8.2,10.0,0.2,10.0,10.0
10.15,10.0,0.3,10.4,10.0
13.21,20.0,0.24,20.0,20.0
6.5,6.0,0.24,7.0,6.0
5.55,7.0,0.28,6.14,8.0
13.38,15.0,0.15,15.0,15.0
12.14,20.0,0.12,17.0,25.0
50.0,50.0,0.08,50.0,50.0
10.11,10.0,0.23,20.5,15.0
8.17,13.0,0.22,12.0,12.0
10.2,13.0,0.15,11.5,12.0
15.0,15.0,0.07,15.0,15.0
12.29,10.0,0.26,12.29,20.0
7.38,10.0,0.23,8.4,10.0
6.59,8.0,0.3,8.2,8.0
18.48,20.0,0.27,25.0,30.0
9.22,16.0,0.16,16.0,16.0
12.5,20.0,0.09,12.5,20.0
10.0,15.0,0.1,10.0,15.0
4.25,5.0,0.32,4.43,5.0
6.0,10.0,0.25,8.5,10.0
8.11,12.0,0.25,12.0,18.0
8.33,15.0,0.17,15.0,25.0
28.04,35.0,0.36,34.5,25.0
4.86,6.0,0.31,6.43,6.0
10.0,15.0,0.1,12.5,10.0
7.58,10.0,0.24,10.0,10.0
20.18,20.0,0.17,18.67,10.0
44.38,100.0,0.11,80.0,25.0
8.5,11.0,0.24,10.0,10.0
15.0,20.0,0.11,20.0,15.0
12.5,15.0,0.12,12.5,15.0
8.0,12.0,0.24,9.0,10.0
2.88,3.0,0.26,3.25,3.0
10.0,15.0,0.09,10.0,15.0
13.33,16.0,0.12,13.33,15.0
20.5,20.0,0.1,15.0,5.0
17.6,25.0,0.1,22.5,20.0
10.75,28.0,0.11,17.5,10.0
10.6,25.0,0.13,18.0,25.0
5.5,6.0,0.19,5.8,6.0
6.25,10.0,0.19,8.4,10.0
11.33,12.0,0.14,11.33,3.0
9.21,12.0,0.37,10.7,11.0
4.11,4.0,0.36,4.6,4.0
17.67,32.0,0.15,27.0,34.0
5.38,5.0,0.24,5.25,4.0
10.5,20.0,0.15,18.0,20.0
5.58,7.0,0.26,6.5,10.0
12.9,6.0,0.18,17.75,20.0
4.3,5.0,0.51,5.27,5.0
5.25,7.0,0.25,5.67,5.0
8.17,10.0,0.2,8.17,9.0
6.06,10.0,0.24,10.0,20.0
13.38,15.0,0.16,14.0,17.0
6.67,10.0,0.16,7.5,20.0
11.62,13.0,0.23,12.75,12.0
8.08,10.0,0.31,10.33,10.0
14.8,20.0,0.17,20.0,25.0
13.56,15.0,0.28,15.0,10.0
5.8,6.0,0.31,6.33,4.0
8.83,11.0,0.15,9.6,10.0
23.33,25.0,0.12,23.33,30.0
11.27,20.0,0.2,18.0,10.0
5.05,5.0,0.22,5.0,5.0
13.67,15.0,0.1,20.0,10.0
25.4,35.0,0.1,31.0,35.0
10.0,15.0,0.11,12.5,18.0
25.0,50.0,0.09,50.0,50.0
6.96,10.0,0.37,9.38,15.0
12.5,24.0,0.31,19.0,20.0
9.44,25.0,0.13,25.0,10.0
5.27,5.0,0.4,5.56,5.0
8.06,14.0,0.24,14.0,20.0
8.28,10.0,0.28,11.2,5.0
12.67,14.0,0.12,16.0,20.0
10.55,20.0,0.35,20.0,10.0
8.6,10.0,0.16,9.5,11.0
12.67,20.0,0.27,17.33,20.0
